Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-10-13,25200,25440,24960,25040,198000,-0.006349206349206327,47150,47150,46000,46100,780065,-0.022269353128313907
2015-10-14,24960,25200,24740,25080,175051,0.0015974440894568342,46200,46400,45300,46150,724993,0.0010845986984815426
2015-10-15,24880,25640,24860,25380,248503,0.011961722488038173,45550,46800,45550,46750,516628,0.01300108342361872
2015-10-16,25300,25380,25180,25300,143968,-0.0031520882584712417,46750,46900,45850,45950,390747,-0.01711229946524062
2015-10-19,25140,25300,24980,25120,117070,-0.007114624505928813,46100,46800,46050,46800,354715,0.018498367791077275
2015-10-20,25200,25460,25120,25320,150347,0.0079617834394905,47000,47200,46550,46850,440925,0.0010683760683760646
2015-10-21,25300,25640,25180,25400,139567,0.003159557661927437,47500,54100,47450,53600,6683944,0.1440768409818569
2015-10-22,25600,25900,25380,25600,230673,0.007874015748031482,54500,56100,53200,53200,4787558,-0.007462686567164201
2015-10-23,26000,26000,25560,25780,263071,0.007031250000000044,54400,54800,52200,53000,1748350,-0.003759398496240629
2015-10-26,25960,25960,25440,25840,152165,0.002327385570209506,53900,54700,53100,53600,1434821,0.01132075471698113
2015-10-27,25640,25980,25620,25960,132241,0.004643962848297267,53300,54300,52800,53500,823764,-0.001865671641791078
2015-10-28,25880,26160,25820,26160,271303,0.007704160246533087,53400,55900,52600,54200,1702933,0.013084112149532645
2015-10-29,26599,27839,26480,26500,630471,0.012996941896024516,54500,55400,52800,53000,1453026,-0.022140221402214055
2015-10-30,26900,27800,26819,27440,509385,0.035471698113207495,51500,52100,49100,49100,2966810,-0.07358490566037734
2015-11-02,27700,27860,27479,27660,386546,0.008017492711370311,48600,50900,48000,50800,1233806,0.03462321792260692
2015-11-03,27620,27620,26999,27040,301840,-0.022415039768618916,51300,51700,50300,50600,924966,-0.003937007874015741
2015-11-04,27040,27219,26519,26600,281070,-0.016272189349112454,50600,51300,49850,50600,797401,0.0
2015-11-05,26600,27079,26600,26840,173042,0.009022556390977376,51200,51400,50300,50600,430039,0.0
2015-11-06,26860,26960,26600,26760,164322,-0.0029806259314456574,50800,50900,49700,49700,634167,-0.017786561264822143
2015-11-09,26760,26880,26419,26880,185661,0.004484304932735439,49950,50900,48950,50800,852861,0.02213279678068414
2015-11-10,26720,26820,26280,26420,197551,-0.017113095238095233,51500,53300,51200,52500,1711831,0.0334645669291338
2015-11-11,26419,26900,26419,26660,140449,0.009084027252081794,53300,53300,51600,52000,808899,-0.00952380952380949
2015-11-12,26660,26680,26340,26340,157417,-0.012003000750187565,52600,55000,52200,54700,1727509,0.05192307692307696
2015-11-13,26340,26340,26000,26000,177677,-0.012908124525436548,54300,55400,53600,54800,1517057,0.001828153564899404
2015-11-16,25820,25820,25260,25260,275705,-0.028461538461538427,54000,54600,53600,53800,810232,-0.018248175182481785
2015-11-17,25500,25800,25400,25400,186184,0.005542359461599311,54700,56000,54200,55200,1127950,0.026022304832713727
2015-11-18,25440,25800,25440,25620,167735,0.008661417322834541,55300,55800,54100,54200,708784,-0.018115942028985477
2015-11-19,25800,25800,25420,25780,192850,0.006245120999219367,54800,56700,54400,56300,1406026,0.03874538745387457
2015-11-20,25780,25920,25560,25700,168720,-0.003103180760279267,56900,57900,56300,56400,1112448,0.001776198934280604
2015-11-23,25700,26040,25620,25640,198820,-0.0023346303501945442,57000,57100,55200,55600,710116,-0.014184397163120588
2015-11-24,25640,26100,25640,25980,159560,0.013260530421216776,55500,56300,54300,56200,1104856,0.010791366906474753
2015-11-25,26000,26200,25980,25980,142627,0.0,56900,56900,55500,56100,543359,-0.001779359430605032
2015-11-26,25980,26800,25980,26700,185800,0.02771362586605086,56500,56800,55600,56100,567520,0.0
2015-11-27,26900,26980,26540,26540,169854,-0.005992509363295873,56000,56000,54800,54800,625312,-0.02317290552584672
2015-11-30,26500,26500,25680,25680,534006,-0.03240391861341374,54500,55500,54100,54200,854582,-0.010948905109489093
2015-12-01,25880,26440,25760,26420,252113,0.028816199376947127,54200,55400,53900,55000,471089,0.014760147601476037
2015-12-02,26420,26440,25880,26000,229628,-0.015897047691143085,55200,55400,53900,53900,515921,-0.020000000000000018
2015-12-03,25900,25940,25720,25800,166695,-0.007692307692307665,53600,53800,52300,52500,779209,-0.025974025974025983
2015-12-04,25500,25600,25340,25380,192711,-0.016279069767441867,52000,53900,51900,52600,695595,0.0019047619047618536
2015-12-07,25380,25500,25240,25240,196107,-0.005516154452324673,53400,53600,52400,52400,399499,-0.0038022813688213253
2015-12-08,25240,25440,25240,25240,138322,0.0,52400,53000,51600,51700,433734,-0.013358778625954248
2015-12-09,25240,25500,25240,25260,181812,0.0007923930269413404,51900,53400,51400,52300,636545,0.011605415860735047
2015-12-10,25260,25860,25260,25660,303867,0.015835312747426666,52200,52300,48800,49050,2835812,-0.0621414913957935
2015-12-11,25660,25900,25440,25680,206729,0.000779423226812126,49550,49900,49050,49300,1132671,0.0050968399592252744
2015-12-14,25460,25460,25100,25220,222801,-0.01791277258566981,48600,49100,47450,47900,1042760,-0.028397565922920864
2015-12-15,25220,25600,25200,25540,175494,0.012688342585249757,47800,50300,47800,50000,807606,0.04384133611691032
2015-12-16,25560,26200,25560,25980,207962,0.017227877838684513,50900,52300,50500,51700,1284490,0.03400000000000003
